Name,Party,State,,
"Britt, Katie Boyd",Republican,Alabama,,
"Tuberville, Tommy",Republican,Alabama,,
"Aderholt, Robert B.",Republican,Alabama (AL),,
"Carl, Jerry L.",Republican,Alabama (AL),,
"Moore, Barry",Republican,Alabama (AL),,
"Palmer, Gary J.",Republican,Alabama (AL),,
"Rogers, Mike",Republican,Alabama (AL),,
"Sewell, Terri A.",Democrat,Alabama (AL),,
"Strong, Dale W.",Republican,Alabama (AL),,
"Murkowski, Lisa",Republican,Alaska,,
"Sullivan, Dan",Republican,Alaska,,
"Peltola, Mary Sattler",Democrat,Alaska (AK),,
"Kelly, Mark",Democratic,Arizona,,
"Sinema, Kyrsten",Independent,Arizona,,
"Biggs, Andy",Republican,Arizona (AZ),,
"Ciscomani, Juan",Republican,Arizona (AZ),,
"Crane, Elijah",Republican,Arizona (AZ),,
"Gallego, Ruben",Democrat,Arizona (AZ),,
"Gosar, Paul A.",Republican,Arizona (AZ),,
"Grijalva, Raúl M.",Democrat,Arizona (AZ),,
"Lesko, Debbie",Republican,Arizona (AZ),,
"Schweikert, David",Republican,Arizona (AZ),,
"Stanton, Greg",Democrat,Arizona (AZ),,
"Boozman, John",Republican,Arkansas,,
"Cotton, Tom",Republican,Arkansas,,
"Crawford, Eric A. ""Rick""",Republican,Arkansas (AR),,
"Hill, J. French",Republican,Arkansas (AR),,
"Westerman, Bruce",Republican,Arkansas (AR),,
"Womack, Steve",Republican,Arkansas (AR),,
"Butler, Laphonza R.",Democratic,California,,
"Padilla, Alex",Democratic,California,,
"Aguilar, Pete",Democrat,California (CA),,
"Barragán, Nanette Diaz",Democrat,California (CA),,
"Bera, Ami",Democrat,California (CA),,
"Brownley, Julia",Democrat,California (CA),,
"Calvert, Ken",Republican,California (CA),,
"Carbajal, Salud O.",Democrat,California (CA),,
"Chu, Judy",Democrat,California (CA),,
"Correa, J. Luis",Democrat,California (CA),,
"Costa, Jim",Democrat,California (CA),,
"Cárdenas, Tony",Democrat,California (CA),,
"DeSaulnier, Mark",Democrat,California (CA),,
"Duarte, John S.",Republican,California (CA),,
"Eshoo, Anna G.",Democrat,California (CA),,
"Garamendi, John",Democrat,California (CA),,
"Garcia, Mike",Republican,California (CA),,
"Garcia, Robert",Democrat,California (CA),,
"Gomez, Jimmy",Democrat,California (CA),,
"Harder, Josh",Democrat,California (CA),,
"Huffman, Jared",Democrat,California (CA),,
"Issa, Darrell",Republican,California (CA),,
"Jacobs, Sara",Democrat,California (CA),,
"Kamlager-Dove, Sydney",Democrat,California (CA),,
"Khanna, Ro",Democrat,California (CA),,
"Kiley, Kevin",Republican,California (CA),,
"Kim, Young",Republican,California (CA),,
"LaMalfa, Doug",Republican,California (CA),,
"Lee, Barbara",Democrat,California (CA),,
"Levin, Mike",Democrat,California (CA),,
"Lieu, Ted",Democrat,California (CA),,
"Lofgren, Zoe",Democrat,California (CA),,
"Matsui, Doris O.",Democrat,California (CA),,
"McClintock, Tom",Republican,California (CA),,
"Mullin, Kevin",Democrat,California (CA),,
"Napolitano, Grace F.",Democrat,California (CA),,
"Obernolte, Jay",Republican,California (CA),,
"Panetta, Jimmy",Democrat,California (CA),,
"Pelosi, Nancy",Democrat,California (CA),,
"Peters, Scott H.",Democrat,California (CA),,
"Porter, Katie",Democrat,California (CA),,
"Ruiz, Raul",Democrat,California (CA),,
"Schiff, Adam B.",Democrat,California (CA),,
"Sherman, Brad",Democrat,California (CA),,
"Steel, Michelle",Republican,California (CA),,
"Swalwell, Eric",Democrat,California (CA),,
"Sánchez, Linda T.",Democrat,California (CA),,
"Takano, Mark",Democrat,California (CA),,
"Thompson, Mike",Democrat,California (CA),,
"Torres, Norma J.",Democrat,California (CA),,
"Valadao, David G.",Republican,California (CA),,
"Vargas, Juan",Democrat,California (CA),,
"Waters, Maxine",Democrat,California (CA),,
"Bennet, Michael F.",Democratic,Colorado,,
"Hickenlooper, John W.",Democratic,Colorado,,
"Boebert, Lauren",Republican,Colorado (CO),,
"Caraveo, Yadira",Democrat,Colorado (CO),,
"Crow, Jason",Democrat,Colorado (CO),,
"DeGette, Diana",Democrat,Colorado (CO),,
"Lamborn, Doug",Republican,Colorado (CO),,
"Neguse, Joe",Democrat,Colorado (CO),,
"Pettersen, Brittany",Democrat,Colorado (CO),,
"Blumenthal, Richard",Democratic,Connecticut,,
"Murphy, Christopher",Democratic,Connecticut,,
"Courtney, Joe",Democrat,Connecticut (CT),,
"DeLauro, Rosa L.",Democrat,Connecticut (CT),,
"Hayes, Jahana",Democrat,Connecticut (CT),,
"Himes, James A.",Democrat,Connecticut (CT),,
"Larson, John B.",Democrat,Connecticut (CT),,
"Carper, Thomas R.",Democratic,Delaware,,
"Coons, Christopher A.",Democratic,Delaware,,
"Blunt Rochester, Lisa",Democrat,Delaware (DE),,
"Norton, Eleanor Holmes",Democrat,District of Columbia (DC),,
"Rubio, Marco",Republican,Florida,,
"Scott, Rick",Republican,Florida,,
"Bean, Aaron",Republican,Florida (FL),,
"Bilirakis, Gus M.",Republican,Florida (FL),,
"Buchanan, Vern",Republican,Florida (FL),,
"Cammack, Kat",Republican,Florida (FL),,
"Castor, Kathy",Democrat,Florida (FL),,
"Cherfilus-McCormick, Sheila",Democrat,Florida (FL),,
"Diaz-Balart, Mario",Republican,Florida (FL),,
"Donalds, Byron",Republican,Florida (FL),,
"Dunn, Neal P.",Republican,Florida (FL),,
"Frankel, Lois",Democrat,Florida (FL),,
"Franklin, Scott",Republican,Florida (FL),,
"Frost, Maxwell",Democrat,Florida (FL),,
"Gaetz, Matt",Republican,Florida (FL),,
"Gimenez, Carlos A.",Republican,Florida (FL),,
"Lee, Laurel M.",Republican,Florida (FL),,
"Luna, Anna Paulina",Republican,Florida (FL),,
"Mast, Brian J.",Republican,Florida (FL),,
"Mills, Cory",Republican,Florida (FL),,
"Moskowitz, Jared",Democrat,Florida (FL),,
"Posey, Bill",Republican,Florida (FL),,
"Rutherford, John H.",Republican,Florida (FL),,
"Salazar, Maria Elvira",Republican,Florida (FL),,
"Soto, Darren",Democrat,Florida (FL),,
"Steube, W. Gregory",Republican,Florida (FL),,
"Waltz, Michael",Republican,Florida (FL),,
"Wasserman Schultz, Debbie",Democrat,Florida (FL),,
"Webster, Daniel",Republican,Florida (FL),,
"Wilson, Frederica S.",Democrat,Florida (FL),,
"Ossoff, Jon",Democratic,Georgia,,
"Warnock, Raphael G.",Democratic,Georgia,,
"Allen, Rick W.",Republican,Georgia (GA),,
"Bishop, Sanford D. Jr.",Democrat,Georgia (GA),,
"Carter, Earl L. ""Buddy""",Republican,Georgia (GA),,
"Clyde, Andrew S.",Republican,Georgia (GA),,
"Collins, Mike",Republican,Georgia (GA),,
"Ferguson, A. Drew IV",Republican,Georgia (GA),,
"Greene, Marjorie Taylor",Republican,Georgia (GA),,
"Johnson, Henry C. ""Hank"" Jr.",Democrat,Georgia (GA),,
"Loudermilk, Barry",Republican,Georgia (GA),,
"McBath, Lucy",Democrat,Georgia (GA),,
"McCormick, Richard",Republican,Georgia (GA),,
"Scott, Austin",Republican,Georgia (GA),,
"Scott, David",Democrat,Georgia (GA),,
"Williams, Nikema",Democrat,Georgia (GA),,
"Moylan, James C.",Republican,Guam (GU),,
"Hirono, Mazie K.",Democratic,Hawaii,,
"Schatz, Brian",Democratic,Hawaii,,
"Case, Ed",Democrat,Hawaii (HI),,
"Tokuda, Jill N.",Democrat,Hawaii (HI),,
"Crapo, Mike",Republican,Idaho,,
"Risch, James E.",Republican,Idaho,,
"Fulcher, Russ",Republican,Idaho (ID),,
"Simpson, Michael K.",Republican,Idaho (ID),,
"Duckworth, Tammy",Democratic,Illinois,,
"Durbin, Richard J.",Democratic,Illinois,,
"Bost, Mike",Republican,Illinois (IL),,
"Budzinski, Nikki",Democrat,Illinois (IL),,
"Casten, Sean",Democrat,Illinois (IL),,
"Davis, Danny K.",Democrat,Illinois (IL),,
"Foster, Bill",Democrat,Illinois (IL),,
"García, Jesús G. ""Chuy""",Democrat,Illinois (IL),,
"Jackson, Jonathan L.",Democrat,Illinois (IL),,
"Kelly, Robin L.",Democrat,Illinois (IL),,
"Krishnamoorthi, Raja",Democrat,Illinois (IL),,
"LaHood, Darin",Republican,Illinois (IL),,
"Miller, Mary E.",Republican,Illinois (IL),,
"Quigley, Mike",Democrat,Illinois (IL),,
"Ramirez, Delia C.",Democrat,Illinois (IL),,
"Schakowsky, Janice D.",Democrat,Illinois (IL),,
"Schneider, Bradley Scott",Democrat,Illinois (IL),,
"Sorensen, Eric",Democrat,Illinois (IL),,
"Underwood, Lauren",Democrat,Illinois (IL),,
"Braun, Mike",Republican,Indiana,,
"Young, Todd",Republican,Indiana,,
"Baird, James R.",Republican,Indiana (IN),,
"Banks, Jim",Republican,Indiana (IN),,
"Bucshon, Larry",Republican,Indiana (IN),,
"Carson, André",Democrat,Indiana (IN),,
"Houchin, Erin",Republican,Indiana (IN),,
"Mrvan, Frank J.",Democrat,Indiana (IN),,
"Pence, Greg",Republican,Indiana (IN),,
"Spartz, Victoria",Republican,Indiana (IN),,
"Yakym, Rudy III",Republican,Indiana (IN),,
"Ernst, Joni",Republican,Iowa,,
"Grassley, Chuck",Republican,Iowa,,
"Feenstra, Randy",Republican,Iowa (IA),,
"Hinson, Ashley",Republican,Iowa (IA),,
"Miller-Meeks, Mariannette",Republican,Iowa (IA),,
"Nunn, Zachary",Republican,Iowa (IA),,
"Marshall, Roger",Republican,Kansas,,
"Moran, Jerry",Republican,Kansas,,
"Davids, Sharice",Democrat,Kansas (KS),,
"Estes, Ron",Republican,Kansas (KS),,
"LaTurner, Jake",Republican,Kansas (KS),,
"Mann, Tracey",Republican,Kansas (KS),,
"McConnell, Mitch",Republican,Kentucky,,
"Paul, Rand",Republican,Kentucky,,
"Barr, Andy",Republican,Kentucky (KY),,
"Comer, James",Republican,Kentucky (KY),,
"Guthrie, Brett",Republican,Kentucky (KY),,
"Massie, Thomas",Republican,Kentucky (KY),,
"McGarvey, Morgan",Democrat,Kentucky (KY),,
"Rogers, Harold",Republican,Kentucky (KY),,
"Cassidy, Bill",Republican,Louisiana,,
"Kennedy, John",Republican,Louisiana,,
"Carter, Troy A.",Democrat,Louisiana (LA),,
"Graves, Garret",Republican,Louisiana (LA),,
"Higgins, Clay",Republican,Louisiana (LA),,
"Johnson, Mike",Republican,Louisiana (LA),,
"Letlow, Julia",Republican,Louisiana (LA),,
"Scalise, Steve",Republican,Louisiana (LA),,
"Collins, Susan M.",Republican,Maine,,
"King, Angus S., Jr.",Independent,Maine,,
"Golden, Jared F.",Democrat,Maine (ME),,
"Pingree, Chellie",Democrat,Maine (ME),,
"Cardin, Benjamin L.",Democratic,Maryland,,
"Van Hollen, Chris",Democratic,Maryland,,
"Harris, Andy",Republican,Maryland (MD),,
"Hoyer, Steny H.",Democrat,Maryland (MD),,
"Ivey, Glenn",Democrat,Maryland (MD),,
"Mfume, Kweisi",Democrat,Maryland (MD),,
"Raskin, Jamie",Democrat,Maryland (MD),,
"Ruppersberger, C. A. Dutch",Democrat,Maryland (MD),,
"Sarbanes, John P.",Democrat,Maryland (MD),,
"Trone, David J.",Democrat,Maryland (MD),,
"Markey, Edward J.",Democratic,Massachusetts,,
"Warren, Elizabeth",Democratic,Massachusetts,,
"Auchincloss, Jake",Democrat,Massachusetts (MA),,
"Clark, Katherine M.",Democrat,Massachusetts (MA),,
"Keating, William R.",Democrat,Massachusetts (MA),,
"Lynch, Stephen F.",Democrat,Massachusetts (MA),,
"McGovern, James P.",Democrat,Massachusetts (MA),,
"Moulton, Seth",Democrat,Massachusetts (MA),,
"Neal, Richard E.",Democrat,Massachusetts (MA),,
"Pressley, Ayanna",Democrat,Massachusetts (MA),,
"Trahan, Lori",Democrat,Massachusetts (MA),,
"Peters, Gary C.",Democratic,Michigan,,
"Stabenow, Debbie",Democratic,Michigan,,
"Bergman, Jack",Republican,Michigan (MI),,
"Dingell, Debbie",Democrat,Michigan (MI),,
"Huizenga, Bill",Republican,Michigan (MI),,
"James, John",Republican,Michigan (MI),,
"Kildee, Daniel T.",Democrat,Michigan (MI),,
"McClain, Lisa C.",Republican,Michigan (MI),,
"Moolenaar, John R.",Republican,Michigan (MI),,
"Scholten, Hillary J.",Democrat,Michigan (MI),,
"Slotkin, Elissa",Democrat,Michigan (MI),,
"Stevens, Haley M.",Democrat,Michigan (MI),,
"Thanedar, Shri",Democrat,Michigan (MI),,
"Tlaib, Rashida",Democrat,Michigan (MI),,
"Walberg, Tim",Republican,Michigan (MI),,
"Klobuchar, Amy",Democratic,Minnesota,,
"Smith, Tina",Democratic,Minnesota,,
"Craig, Angie",Democrat,Minnesota (MN),,
"Emmer, Tom",Republican,Minnesota (MN),,
"Finstad, Brad",Republican,Minnesota (MN),,
"Fischbach, Michelle",Republican,Minnesota (MN),,
"McCollum, Betty",Democrat,Minnesota (MN),,
"Omar, Ilhan",Democrat,Minnesota (MN),,
"Phillips, Dean",Democrat,Minnesota (MN),,
"Stauber, Pete",Republican,Minnesota (MN),,
"Hyde-Smith, Cindy",Republican,Mississippi,,
"Wicker, Roger F.",Republican,Mississippi,,
"Ezell, Mike",Republican,Mississippi (MS),,
"Guest, Michael",Republican,Mississippi (MS),,
"Kelly, Trent",Republican,Mississippi (MS),,
"Thompson, Bennie G.",Democrat,Mississippi (MS),,
"Hawley, Josh",Republican,Missouri,,
"Schmitt, Eric",Republican,Missouri,,
"Alford, Mark",Republican,Missouri (MO),,
"Burlison, Eric",Republican,Missouri (MO),,
"Bush, Cori",Democrat,Missouri (MO),,
"Cleaver, Emanuel",Democrat,Missouri (MO),,
"Graves, Sam",Republican,Missouri (MO),,
"Luetkemeyer, Blaine",Republican,Missouri (MO),,
"Smith, Jason",Republican,Missouri (MO),,
"Wagner, Ann",Republican,Missouri (MO),,
"Daines, Steve",Republican,Montana,,
"Tester, Jon",Democratic,Montana,,
"Rosendale, Matthew M. Sr.",Republican,Montana (MT),,
"Zinke, Ryan K.",Republican,Montana (MT),,
"Fischer, Deb",Republican,Nebraska,,
"Ricketts, Pete",Republican,Nebraska,,
"Bacon, Don",Republican,Nebraska (NE),,
"Flood, Mike",Republican,Nebraska (NE),,
"Smith, Adrian",Republican,Nebraska (NE),,
"Cortez Masto, Catherine",Democratic,Nevada,,
"Rosen, Jacky",Democratic,Nevada,,
"Amodei, Mark E.",Republican,Nevada (NV),,
"Horsford, Steven",Democrat,Nevada (NV),,
"Lee, Susie",Democrat,Nevada (NV),,
"Titus, Dina",Democrat,Nevada (NV),,
"Hassan, Margaret Wood",Democratic,New Hampshire,,
"Shaheen, Jeanne",Democratic,New Hampshire,,
"Kuster, Ann M.",Democrat,New Hampshire (NH),,
"Pappas, Chris",Democrat,New Hampshire (NH),,
"Booker, Cory A.",Democratic,New Jersey,,
"Menendez, Robert",Democratic,New Jersey,,
"Gottheimer, Josh",Democrat,New Jersey (NJ),,
"Kean, Thomas H. Jr.",Republican,New Jersey (NJ),,
"Kim, Andy",Democrat,New Jersey (NJ),,
"Menendez, Robert",Democrat,New Jersey (NJ),,
"Norcross, Donald",Democrat,New Jersey (NJ),,
"Pallone, Frank Jr.",Democrat,New Jersey (NJ),,
"Pascrell, Bill Jr.",Democrat,New Jersey (NJ),,
"Payne, Donald M. Jr.",Democrat,New Jersey (NJ),,
"Sherrill, Mikie",Democrat,New Jersey (NJ),,
"Smith, Christopher H.",Republican,New Jersey (NJ),,
"Van Drew, Jefferson",Republican,New Jersey (NJ),,
"Watson Coleman, Bonnie",Democrat,New Jersey (NJ),,
"Heinrich, Martin",Democratic,New Mexico,,
"Luján, Ben Ray",Democratic,New Mexico,,
"Leger Fernandez, Teresa",Democrat,New Mexico (NM),,
"Stansbury, Melanie A.",Democrat,New Mexico (NM),,
"Vasquez, Gabe",Democrat,New Mexico (NM),,
"Gillibrand, Kirsten E.",Democratic,New York,,
"Schumer, Charles E.",Democratic,New York,,
"Bowman, Jamaal",Democrat,New York (NY),,
"Clarke, Yvette D.",Democrat,New York (NY),,
"D'Esposito, Anthony",Republican,New York (NY),,
"Espaillat, Adriano",Democrat,New York (NY),,
"Garbarino, Andrew R.",Republican,New York (NY),,
"Goldman, Daniel S.",Democrat,New York (NY),,
"Jeffries, Hakeem S.",Democrat,New York (NY),,
"LaLota, Nick",Republican,New York (NY),,
"Langworthy, Nicholas A.",Republican,New York (NY),,
"Lawler, Michael",Republican,New York (NY),,
"Malliotakis, Nicole",Republican,New York (NY),,
"Meeks, Gregory W.",Democrat,New York (NY),,
"Meng, Grace",Democrat,New York (NY),,
"Molinaro, Marcus J.",Republican,New York (NY),,
"Morelle, Joseph D.",Democrat,New York (NY),,
"Nadler, Jerrold",Democrat,New York (NY),,
"Ocasio-Cortez, Alexandria",Democrat,New York (NY),,
"Ryan, Patrick",Democrat,New York (NY),,
"Stefanik, Elise M.",Republican,New York (NY),,
"Suozzi, Thomas R.",Democrat,New York (NY),,
"Tenney, Claudia",Republican,New York (NY),,
"Tonko, Paul",Democrat,New York (NY),,
"Torres, Ritchie",Democrat,New York (NY),,
"Velázquez, Nydia M.",Democrat,New York (NY),,
"Williams, Brandon",Republican,New York (NY),,
"Budd, Ted",Republican,North Carolina,,
"Tillis, Thom",Republican,North Carolina,,
"Adams, Alma S.",Democrat,North Carolina (NC),,
"Bishop, Dan",Republican,North Carolina (NC),,
"Davis, Donald G.",Democrat,North Carolina (NC),,
"Edwards, Chuck",Republican,North Carolina (NC),,
"Foushee, Valerie P.",Democrat,North Carolina (NC),,
"Foxx, Virginia",Republican,North Carolina (NC),,
"Hudson, Richard",Republican,North Carolina (NC),,
"Jackson, Jeff",Democrat,North Carolina (NC),,
"Manning, Kathy E.",Democrat,North Carolina (NC),,
"McHenry, Patrick T.",Republican,North Carolina (NC),,
"Murphy, Gregory F.",Republican,North Carolina (NC),,
"Nickel, Wiley",Democrat,North Carolina (NC),,
"Ross, Deborah K.",Democrat,North Carolina (NC),,
"Rouzer, David",Republican,North Carolina (NC),,
"Cramer, Kevin",Republican,North Dakota,,
"Hoeven, John",Republican,North Dakota,,
"Armstrong, Kelly",Republican,North Dakota (ND),,
"Brown, Sherrod",Democratic,Ohio,,
"Vance, J.D.",Republican,Ohio,,
"Balderson, Troy",Republican,Ohio (OH),,
"Beatty, Joyce",Democrat,Ohio (OH),,
"Brown, Shontel M.",Democrat,Ohio (OH),,
"Carey, Mike",Republican,Ohio (OH),,
"Davidson, Warren",Republican,Ohio (OH),,
"Jordan, Jim",Republican,Ohio (OH),,
"Joyce, David P.",Republican,Ohio (OH),,
"Kaptur, Marcy",Democrat,Ohio (OH),,
"Landsman, Greg",Democrat,Ohio (OH),,
"Latta, Robert E.",Republican,Ohio (OH),,
"Miller, Max L.",Republican,Ohio (OH),,
"Sykes, Emilia Strong",Democrat,Ohio (OH),,
"Turner, Michael R.",Republican,Ohio (OH),,
"Wenstrup, Brad R.",Republican,Ohio (OH),,
"Lankford, James",Republican,Oklahoma,,
"Mullin, Markwayne",Republican,Oklahoma,,
"Bice, Stephanie I.",Republican,Oklahoma (OK),,
"Brecheen, Josh",Republican,Oklahoma (OK),,
"Cole, Tom",Republican,Oklahoma (OK),,
"Hern, Kevin",Republican,Oklahoma (OK),,
"Lucas, Frank D.",Republican,Oklahoma (OK),,
"Merkley, Jeff",Democratic,Oregon,,
"Wyden, Ron",Democratic,Oregon,,
"Bentz, Cliff",Republican,Oregon (OR),,
"Blumenauer, Earl",Democrat,Oregon (OR),,
"Bonamici, Suzanne",Democrat,Oregon (OR),,
"Chavez-DeRemer, Lori",Republican,Oregon (OR),,
"Hoyle, Val T.",Democrat,Oregon (OR),,
"Salinas, Andrea",Democrat,Oregon (OR),,
"Casey, Robert P., Jr.",Democratic,Pennsylvania,,
"Fetterman, John",Democratic,Pennsylvania,,
"Boyle, Brendan F.",Democrat,Pennsylvania (PA),,
"Cartwright, Matt",Democrat,Pennsylvania (PA),,
"Dean, Madeleine",Democrat,Pennsylvania (PA),,
"Deluzio, Christopher R.",Democrat,Pennsylvania (PA),,
"Evans, Dwight",Democrat,Pennsylvania (PA),,
"Fitzpatrick, Brian K.",Republican,Pennsylvania (PA),,
"Houlahan, Chrissy",Democrat,Pennsylvania (PA),,
"Joyce, John",Republican,Pennsylvania (PA),,
"Kelly, Mike",Republican,Pennsylvania (PA),,
"Lee, Summer L.",Democrat,Pennsylvania (PA),,
"Meuser, Daniel",Republican,Pennsylvania (PA),,
"Perry, Scott",Republican,Pennsylvania (PA),,
"Reschenthaler, Guy",Republican,Pennsylvania (PA),,
"Scanlon, Mary Gay",Democrat,Pennsylvania (PA),,
"Smucker, Lloyd",Republican,Pennsylvania (PA),,
"Thompson, Glenn",Republican,Pennsylvania (PA),,
"Wild, Susan",Democrat,Pennsylvania (PA),,
"González-Colón, Jenniffer",Republican,Puerto Rico (PR),,
"Reed, Jack",Democratic,Rhode Island,,
"Whitehouse, Sheldon",Democratic,Rhode Island,,
"Amo, Gabe",Democrat,Rhode Island (RI),,
"Magaziner, Seth",Democrat,Rhode Island (RI),,
"Graham, Lindsey",Republican,South Carolina,,
"Scott, Tim",Republican,South Carolina,,
"Clyburn, James E.",Democrat,South Carolina (SC),,
"Duncan, Jeff",Republican,South Carolina (SC),,
"Fry, Russell",Republican,South Carolina (SC),,
"Mace, Nancy",Republican,South Carolina (SC),,
"Norman, Ralph",Republican,South Carolina (SC),,
"Timmons, William R. IV",Republican,South Carolina (SC),,
"Wilson, Joe",Republican,South Carolina (SC),,
"Rounds, Mike",Republican,South Dakota,,
"Thune, John",Republican,South Dakota,,
"Johnson, Dusty",Republican,South Dakota (SD),,
"Blackburn, Marsha",Republican,Tennessee,,
"Hagerty, Bill",Republican,Tennessee,,
"Burchett, Tim",Republican,Tennessee (TN),,
"Cohen, Steve",Democrat,Tennessee (TN),,
"DesJarlais, Scott",Republican,Tennessee (TN),,
"Fleischmann, Charles J. ""Chuck""",Republican,Tennessee (TN),,
"Green, Mark E.",Republican,Tennessee (TN),,
"Harshbarger, Diana",Republican,Tennessee (TN),,
"Kustoff, David",Republican,Tennessee (TN),,
"Ogles, Andrew",Republican,Tennessee (TN),,
"Rose, John W.",Republican,Tennessee (TN),,
"Cornyn, John",Republican,Texas,,
"Cruz, Ted",Republican,Texas,,
"Allred, Colin Z.",Democrat,Texas (TX),,
"Arrington, Jodey C.",Republican,Texas (TX),,
"Babin, Brian",Republican,Texas (TX),,
"Burgess, Michael C.",Republican,Texas (TX),,
"Carter, John R.",Republican,Texas (TX),,
"Casar, Greg",Democrat,Texas (TX),,
"Castro, Joaquin",Democrat,Texas (TX),,
"Cloud, Michael",Republican,Texas (TX),,
"Crenshaw, Dan",Republican,Texas (TX),,
"Crockett, Jasmine",Democrat,Texas (TX),,
"Cuellar, Henry",Democrat,Texas (TX),,
"De La Cruz, Monica",Republican,Texas (TX),,
"Doggett, Lloyd",Democrat,Texas (TX),,
"Ellzey, Jake",Republican,Texas (TX),,
"Escobar, Veronica",Democrat,Texas (TX),,
"Fallon, Pat",Republican,Texas (TX),,
"Fletcher, Lizzie",Democrat,Texas (TX),,
"Garcia, Sylvia R.",Democrat,Texas (TX),,
"Gonzales, Tony",Republican,Texas (TX),,
"Gonzalez, Vicente",Democrat,Texas (TX),,
"Gooden, Lance",Republican,Texas (TX),,
"Granger, Kay",Republican,Texas (TX),,
"Green, Al",Democrat,Texas (TX),,
"Hunt, Wesley",Republican,Texas (TX),,
"Jackson Lee, Sheila",Democrat,Texas (TX),,
"Jackson, Ronny",Republican,Texas (TX),,
"Luttrell, Morgan",Republican,Texas (TX),,
"McCaul, Michael T.",Republican,Texas (TX),,
"Moran, Nathaniel",Republican,Texas (TX),,
"Nehls, Troy E.",Republican,Texas (TX),,
"Pfluger, August",Republican,Texas (TX),,
"Roy, Chip",Republican,Texas (TX),,
"Self, Keith",Republican,Texas (TX),,
"Sessions, Pete",Republican,Texas (TX),,
"Van Duyne, Beth",Republican,Texas (TX),,
"Veasey, Marc A.",Democrat,Texas (TX),,
"Weber, Randy K. Sr.",Republican,Texas (TX),,
"Williams, Roger",Republican,Texas (TX),,
"Lee, Mike",Republican,Utah,,
"Romney, Mitt",Republican,Utah,,
"Curtis, John R.",Republican,Utah (UT),,
"Maloy, Celeste",Republican,Utah (UT),,
"Moore, Blake D.",Republican,Utah (UT),,
"Owens, Burgess",Republican,Utah (UT),,
"Sanders, Bernard",Independent,Vermont,,
"Welch, Peter",Democratic,Vermont,,
"Balint, Becca",Democrat,Vermont (VT),,
"Kaine, Tim",Democratic,Virginia,,
"Warner, Mark R.",Democratic,Virginia,,
"Beyer, Donald S. Jr.",Democrat,Virginia (VA),,
"Cline, Ben",Republican,Virginia (VA),,
"Connolly, Gerald E.",Democrat,Virginia (VA),,
"Good, Bob",Republican,Virginia (VA),,
"Griffith, H. Morgan",Republican,Virginia (VA),,
"Kiggans, Jennifer A.",Republican,Virginia (VA),,
"McClellan, Jennifer L.",Democrat,Virginia (VA),,
"Scott, Robert C. ""Bobby""",Democrat,Virginia (VA),,
"Spanberger, Abigail Davis",Democrat,Virginia (VA),,
"Wexton, Jennifer",Democrat,Virginia (VA),,
"Wittman, Robert J.",Republican,Virginia (VA),,
"Cantwell, Maria",Democratic,Washington,,
"Murray, Patty",Democratic,Washington,,
"DelBene, Suzan K.",Democrat,Washington (WA),,
"Jayapal, Pramila",Democrat,Washington (WA),,
"Kilmer, Derek",Democrat,Washington (WA),,
"Larsen, Rick",Democrat,Washington (WA),,
"Newhouse, Dan",Republican,Washington (WA),,
"Perez, Marie Gluesenkamp",Democrat,Washington (WA),,
"Rodgers, Cathy McMorris",Republican,Washington (WA),,
"Schrier, Kim",Democrat,Washington (WA),,
"Smith, Adam",Democrat,Washington (WA),,
"Strickland, Marilyn",Democrat,Washington (WA),,
"Capito, Shelley Moore",Republican,West Virginia,,
"Manchin, Joe, III",Democratic,West Virginia,,
"Miller, Carol D.",Republican,West Virginia (WV),,
"Mooney, Alexander X.",Republican,West Virginia (WV),,
"Baldwin, Tammy",Democratic,Wisconsin,,
"Johnson, Ron",Republican,Wisconsin,,
"Fitzgerald, Scott",Republican,Wisconsin (WI),,
"Gallagher, Mike",Republican,Wisconsin (WI),,
"Grothman, Glenn",Republican,Wisconsin (WI),,
"Moore, Gwen",Democrat,Wisconsin (WI),,
"Pocan, Mark",Democrat,Wisconsin (WI),,
"Steil, Bryan",Republican,Wisconsin (WI),,
"Tiffany, Thomas P.",Republican,Wisconsin (WI),,
"Van Orden, Derrick",Republican,Wisconsin (WI),,
"Barrasso, John",Republican,Wyoming,,
"Lummis, Cynthia M.",Republican,Wyoming,,
"Hageman, Harriet M.",Republican,Wyoming (WY),,